ts_code,trade_date,open,high,low,close,vol,amount
600519.SH,2013-01-04,212.0,212.0,205.0,206.94,58370.34,1205796.538
600519.SH,2013-01-07,205.88,205.88,202.5,204.29,41271.39,840359.829
600519.SH,2013-01-08,203.18,210.85,203.18,210.84,65286.98,1362186.171
600519.SH,2013-01-09,211.5,217.65,211.5,216.45,53749.32,1159330.305
600519.SH,2013-01-10,215.58,217.0,213.0,214.5,30527.86,656830.931
600519.SH,2013-01-11,213.72,215.15,209.88,211.26,37009.99,784542.945
600519.SH,2013-01-14,208.5,210.3,202.81,209.42,68183.58,1410483.972
600519.SH,2013-01-15,208.79,212.1,206.82,210.85,52635.08,1103130.868
600519.SH,2013-01-16,205.0,206.8,203.68,206.0,69501.65,1427067.086
600519.SH,2013-01-17,204.99,207.68,204.52,205.13,36201.85,744614.971
600519.SH,2013-01-18,206.15,206.48,200.11,203.76,55318.07,1122848.386
600519.SH,2013-01-21,202.8,202.8,196.3,197.31,74779.28,1482664.898
600519.SH,2013-01-22,195.81,199.73,189.0,198.83,73815.41,1425054.465
600519.SH,2013-01-23,196.0,199.51,193.8,198.98,51013.93,1006483.564
600519.SH,2013-01-24,197.9,200.1,194.8,195.96,59474.38,1171137.855
600519.SH,2013-01-25,189.0,191.8,186.1,189.05,80007.86,1508197.81
600519.SH,2013-01-28,186.0,187.8,178.0,178.5,158290.58,2857092.951
600519.SH,2013-01-29,176.0,179.99,172.0,178.16,115447.87,2034723.439
600519.SH,2013-01-30,177.05,182.49,176.68,180.12,71376.78,1285436.676
600519.SH,2013-01-31,181.2,181.8,177.77,178.9,37816.23,678384.682
600519.SH,2013-02-01,178.88,181.77,178.03,178.98,45265.64,813241.68
600519.SH,2013-02-04,180.0,180.95,174.0,175.13,64964.02,1142310.991
600519.SH,2013-02-05,174.95,184.5,173.8,184.43,87825.4,1575281.159
600519.SH,2013-02-06,184.98,185.07,182.0,183.93,46195.17,849026.089
600519.SH,2013-02-07,183.0,186.55,181.32,185.17,48567.91,895061.569
600519.SH,2013-02-08,185.15,188.4,184.3,187.86,41572.53,778273.77
600519.SH,2013-02-18,188.3,188.3,179.0,179.69,56569.78,1024714.902
600519.SH,2013-02-19,178.98,180.59,176.8,177.92,37737.53,673362.435
600519.SH,2013-02-20,177.0,179.98,175.02,177.9,36582.26,650765.308
600519.SH,2013-02-21,175.23,185.2,175.05,180.02,53832.87,974530.658
600519.SH,2013-02-22,181.0,186.6,181.0,185.59,62864.18,1163340.82
600519.SH,2013-02-25,184.0,185.35,180.26,181.09,34549.09,629472.576
600519.SH,2013-02-26,180.7,184.0,177.33,177.37,43754.79,783158.037
600519.SH,2013-02-27,176.61,178.7,175.56,176.77,34158.15,602608.232
600519.SH,2013-02-28,177.8,177.8,172.0,175.0,56786.43,990766.787
600519.SH,2013-03-01,174.3,175.96,172.99,173.82,38003.45,661720.749
600519.SH,2013-03-04,173.72,176.62,173.72,174.72,52072.95,912360.626
600519.SH,2013-03-05,175.42,176.46,173.86,175.0,36974.71,648668.784
600519.SH,2013-03-06,176.0,177.3,173.65,177.22,49227.26,861725.426
600519.SH,2013-03-07,179.38,188.6,179.32,183.86,85190.62,1573676.093
600519.SH,2013-03-08,186.01,187.5,183.67,184.13,35959.78,667118.431
600519.SH,2013-03-11,183.8,185.5,181.81,185.2,34965.28,642927.319
600519.SH,2013-03-12,186.0,186.1,180.0,182.18,25393.65,465220.571
600519.SH,2013-03-13,182.4,186.02,182.4,183.83,30769.9,567812.074
600519.SH,2013-03-14,182.5,184.77,178.66,178.94,35124.0,635985.859
600519.SH,2013-03-15,177.52,180.7,175.1,176.97,35961.12,639236.967
600519.SH,2013-03-18,176.9,176.9,168.19,169.45,78231.53,1336285.511
600519.SH,2013-03-19,168.2,169.82,164.51,165.18,63414.03,1052322.589
600519.SH,2013-03-20,165.26,170.59,164.1,169.91,71894.98,1202347.854
600519.SH,2013-03-21,169.5,169.5,165.8,166.78,65392.72,1091400.974
600519.SH,2013-03-22,166.48,169.9,165.71,169.05,45578.63,767262.032
600519.SH,2013-03-25,169.0,170.77,168.1,169.03,31966.46,541959.904
600519.SH,2013-03-26,169.1,171.21,168.41,169.88,32480.09,551865.776
600519.SH,2013-03-27,170.01,170.4,165.4,166.79,47662.21,795809.835
600519.SH,2013-03-28,166.08,168.18,162.31,166.82,41490.9,685703.919
600519.SH,2013-03-29,167.25,169.57,166.02,168.86,47717.09,802924.384
600519.SH,2013-04-01,168.09,168.46,164.58,164.95,29128.8,483197.214
600519.SH,2013-04-02,165.1,165.97,163.27,163.71,32524.9,534554.075
600519.SH,2013-04-03,163.68,165.0,163.18,163.85,21990.5,360543.77
600519.SH,2013-04-08,162.14,165.0,160.45,164.32,37732.76,613230.373
600519.SH,2013-04-09,163.89,164.9,162.7,163.6,24194.65,396645.807
600519.SH,2013-04-10,164.0,171.11,162.7,169.96,70858.38,1194391.2
600519.SH,2013-04-11,170.0,171.0,168.3,168.92,29729.52,504695.116
600519.SH,2013-04-12,168.92,174.4,168.5,172.23,59800.06,1032119.622
600519.SH,2013-04-15,172.27,173.66,170.02,172.74,28336.73,487286.254
600519.SH,2013-04-16,170.0,175.2,169.6,173.16,39137.92,676673.436
600519.SH,2013-04-17,173.6,178.77,173.55,178.49,42974.08,760898.345
600519.SH,2013-04-18,177.2,180.0,176.01,179.15,41956.84,749007.268
600519.SH,2013-04-19,179.4,179.88,176.89,179.23,39238.38,701185.036
600519.SH,2013-04-22,178.9,178.9,173.5,173.71,42745.96,747616.492
600519.SH,2013-04-23,173.5,174.98,171.7,171.81,30952.62,535923.146
600519.SH,2013-04-24,172.22,175.0,170.3,174.87,30402.61,525381.344
600519.SH,2013-04-25,174.02,177.56,173.22,176.7,25359.69,446045.076
600519.SH,2013-04-26,177.41,178.0,173.01,173.99,16307.64,285787.932
600519.SH,2013-05-02,173.0,173.05,169.03,171.11,28586.79,489586.43
600519.SH,2013-05-03,171.8,174.02,170.6,172.45,21460.52,369986.951
600519.SH,2013-05-06,173.0,177.98,171.98,177.8,30196.39,529181.415
600519.SH,2013-05-07,179.02,188.34,179.02,187.69,71020.55,1305178.758
600519.SH,2013-05-08,187.8,190.0,186.13,188.89,42416.06,799534.954
600519.SH,2013-05-09,189.26,197.2,189.26,197.18,70134.68,1370326.17
600519.SH,2013-05-10,197.01,200.92,196.01,197.11,48776.59,970170.014
600519.SH,2013-05-13,197.11,201.6,193.77,197.68,32579.04,645155.894
600519.SH,2013-05-14,196.1,197.1,190.01,191.19,36431.6,701153.965
600519.SH,2013-05-15,190.88,196.66,190.72,194.66,23264.4,452499.708
600519.SH,2013-05-16,194.01,200.51,192.0,194.85,45462.27,893376.381
600519.SH,2013-05-17,194.08,196.45,193.0,195.91,33556.72,654713.526
600519.SH,2013-05-20,196.8,198.48,194.45,195.0,30944.06,605797.988
600519.SH,2013-05-21,194.88,195.76,193.51,195.02,23102.34,449227.066
600519.SH,2013-05-22,195.65,200.6,195.1,199.47,46149.64,917905.229
600519.SH,2013-05-23,199.6,206.49,199.6,202.44,62247.45,1272531.72
600519.SH,2013-05-24,204.0,207.17,200.0,200.93,45073.12,915894.075
600519.SH,2013-05-27,201.97,202.1,198.0,201.63,26778.12,536544.405
600519.SH,2013-05-28,201.88,203.31,199.55,202.14,23676.36,477386.72
600519.SH,2013-05-29,203.0,206.87,201.35,201.49,32340.02,659505.373
600519.SH,2013-05-30,200.8,202.82,199.01,200.25,25019.42,500916.433
600519.SH,2013-05-31,200.97,201.4,197.0,197.1,24590.56,490984.247
600519.SH,2013-06-03,198.1,202.55,197.18,202.08,40256.75,807356.528
600519.SH,2013-06-04,202.3,205.3,201.65,201.7,42356.92,862313.622
600519.SH,2013-06-05,201.99,202.5,199.58,201.17,23724.42,476555.327
600519.SH,2013-06-06,201.21,204.8,201.21,201.66,33877.35,688473.447
600519.SH,2013-06-07,195.11,200.0,193.51,196.26,25478.38,502253.009
600519.SH,2013-06-13,195.12,198.48,192.01,194.71,44998.64,876852.216
600519.SH,2013-06-14,194.35,195.0,189.58,194.02,32518.67,625711.421
600519.SH,2013-06-17,194.27,194.98,189.21,189.48,29689.27,568914.661
600519.SH,2013-06-18,189.16,191.8,186.52,191.65,27377.72,516512.033
600519.SH,2013-06-19,190.88,195.5,188.2,194.83,28909.18,556142.175
600519.SH,2013-06-20,194.46,195.48,190.61,191.74,25586.81,493350.639
600519.SH,2013-06-21,190.04,195.88,187.5,191.17,39654.19,762942.568
600519.SH,2013-06-24,191.61,192.0,185.18,185.62,40807.2,765344.886
600519.SH,2013-06-25,185.56,190.3,176.03,189.84,51352.49,952843.639
600519.SH,2013-06-26,188.49,189.82,184.78,188.72,32903.48,613847.368
600519.SH,2013-06-27,188.72,192.35,188.09,189.58,34135.76,651525.208
600519.SH,2013-06-28,188.85,193.46,188.85,192.37,28070.02,540002.73
600519.SH,2013-07-01,192.03,194.97,191.02,194.29,25828.52,498364.213
600519.SH,2013-07-02,194.27,198.99,192.62,197.95,33453.17,656544.871
600519.SH,2013-07-03,198.9,199.8,196.13,197.97,35424.64,702154.07
600519.SH,2013-07-04,197.07,199.86,196.58,196.62,24214.52,480333.716
600519.SH,2013-07-05,196.9,199.37,196.9,197.12,17779.54,351961.193
600519.SH,2013-07-08,196.88,197.89,193.0,195.16,24113.9,471887.316
600519.SH,2013-07-09,196.3,196.3,190.71,192.05,20233.61,390495.512
600519.SH,2013-07-10,191.21,194.1,188.89,193.84,33244.96,635969.702
600519.SH,2013-07-11,194.55,196.5,192.03,195.97,46056.61,897968.904
600519.SH,2013-07-12,195.11,196.77,188.7,188.81,42991.64,823551.963
600519.SH,2013-07-15,189.38,190.1,184.93,187.95,36607.35,683259.585
600519.SH,2013-07-16,188.16,191.28,185.5,190.95,37011.4,698456.698
600519.SH,2013-07-17,190.5,190.79,186.81,186.92,27388.46,517180.73
600519.SH,2013-07-18,187.0,187.45,183.7,185.07,25699.77,475329.686
600519.SH,2013-07-19,185.01,185.01,174.53,176.01,73319.22,1309145.807
600519.SH,2013-07-22,175.66,177.09,173.05,174.88,27062.32,472471.726
600519.SH,2013-07-23,175.93,180.29,174.98,179.59,28756.11,513622.532
600519.SH,2013-07-24,179.4,179.4,173.1,174.62,44067.23,772480.648
600519.SH,2013-07-25,175.4,179.8,174.3,178.74,39540.54,701690.246
600519.SH,2013-07-26,177.0,177.8,174.9,174.97,19045.67,334279.508
600519.SH,2013-07-29,174.28,174.28,171.0,171.32,26883.31,462873.572
600519.SH,2013-07-30,170.3,171.28,165.59,168.43,42113.97,708812.312
