trade_date,ts_code,open,high,low,close,vol,amount,log_return,log_return_seasonal_diff,month,quarter,dayofweek,is_monday,is_before_holiday
2013-06-04,600519.SH,202.3,205.3,201.65,201.7,42356.92,862313.622,-0.001882213642014463,-0.007307551957237202,6,2,1,0,0
2013-06-05,600519.SH,201.99,202.5,199.58,201.17,23724.42,476555.327,-0.00263112321968606,0.0020246883165082608,6,2,2,0,0
2013-06-06,600519.SH,201.21,204.8,201.21,201.66,33877.35,688473.447,0.0024327892245885607,0.002330230381362597,6,2,3,0,0
2013-06-07,600519.SH,195.11,200.0,193.51,196.26,25478.38,502253.009,-0.02714280018672177,-0.04970453186222201,6,2,4,0,0
2013-06-13,600519.SH,195.12,198.48,192.01,194.71,44998.64,876852.216,-0.00792903865081751,-0.022708735914221734,6,2,3,0,0
2013-06-14,600519.SH,194.35,195.0,189.58,194.02,32518.67,625711.421,-0.0035500255943921033,0.003936932055023767,6,2,4,0,0
2013-06-17,600519.SH,194.27,194.98,189.21,189.48,29689.27,568914.661,-0.023677768477586625,-0.02715551443110975,6,2,0,1,0
2013-06-18,600519.SH,189.16,191.8,186.52,191.65,27377.72,516512.033,0.011387313771012764,0.008861121774480729,6,2,1,0,0
2013-06-19,600519.SH,190.88,195.5,188.2,194.83,28909.18,556142.175,0.01645659163123181,0.019677365914073874,6,2,2,0,0
2013-06-20,600519.SH,194.46,195.48,190.61,191.74,25586.81,493350.639,-0.01598709580894475,-0.009813929393739151,6,2,3,0,0
2013-06-21,600519.SH,190.04,195.88,187.5,191.17,39654.19,762942.568,-0.0029772031079238204,0.01287816868187086,6,2,4,0,0
2013-06-24,600519.SH,191.61,192.0,185.18,185.62,40807.2,765344.886,-0.029461511373679805,-0.054413955817186554,6,2,0,1,0
2013-06-25,600519.SH,185.56,190.3,176.03,189.84,51352.49,952843.639,0.02248003896026063,0.024362252602275092,6,2,1,0,0
2013-06-26,600519.SH,188.49,189.82,184.78,188.72,32903.48,613847.368,-0.005917177028088361,-0.0032860538084023005,6,2,2,0,0
2013-06-27,600519.SH,188.72,192.35,188.09,189.58,34135.76,651525.208,0.004546663925475869,0.0021138747008873082,6,2,3,0,0
2013-06-28,600519.SH,188.85,193.46,188.85,192.37,28070.02,540002.73,0.014609501893194654,0.041752302079916426,6,2,4,0,0
2013-07-01,600519.SH,192.03,194.97,191.02,194.29,25828.52,498364.213,0.009931287336931938,0.017860325987749448,7,3,0,1,0
2013-07-02,600519.SH,194.27,198.99,192.62,197.95,33453.17,656544.871,0.018662585297117396,0.0222126108915095,7,3,1,0,0
2013-07-03,600519.SH,198.9,199.8,196.13,197.97,35424.64,702154.07,0.00010103051130094798,0.023778798988887573,7,3,2,0,0
2013-07-04,600519.SH,197.07,199.86,196.58,196.62,24214.52,480333.716,-0.006842572124662105,-0.01822988589567487,7,3,3,0,0
2013-07-05,600519.SH,196.9,199.37,196.9,197.12,17779.54,351961.193,0.0025397484063764963,-0.013916843224855313,7,3,4,0,0
2013-07-08,600519.SH,196.88,197.89,193.0,195.16,24113.9,471887.316,-0.00999294539751805,0.005994150411426702,7,3,0,1,0
2013-07-09,600519.SH,196.3,196.3,190.71,192.05,20233.61,390495.512,-0.016063980155722746,-0.013086777047798925,7,3,1,0,0
2013-07-10,600519.SH,191.21,194.1,188.89,193.84,33244.96,635969.702,0.009277321716356646,0.03873883309003645,7,3,2,0,0
2013-07-11,600519.SH,194.55,196.5,192.03,195.97,46056.61,897968.904,0.01092850978269233,-0.011551529177568298,7,3,3,0,0
2013-07-12,600519.SH,195.11,196.77,188.7,188.81,42991.64,823551.963,-0.037220367880522076,-0.031303190852433715,7,3,4,0,0
2013-07-15,600519.SH,189.38,190.1,184.93,187.95,36607.35,683259.585,-0.00456524840025363,-0.009111912325729499,7,3,0,1,0
2013-07-16,600519.SH,188.16,191.28,185.5,190.95,37011.4,698456.698,0.015835643661338494,0.0012261417681438402,7,3,1,0,0
2013-07-17,600519.SH,190.5,190.79,186.81,186.92,27388.46,517180.73,-0.021330895839300368,-0.031262183176232305,7,3,2,0,0
2013-07-18,600519.SH,187.0,187.45,183.7,185.07,25699.77,475329.686,-0.009946585942568476,-0.02860917123968587,7,3,3,0,0
2013-07-19,600519.SH,185.01,185.01,174.53,176.01,73319.22,1309145.807,-0.05019332028377832,-0.05029435079507927,7,3,4,0,0
2013-07-22,600519.SH,175.66,177.09,173.05,174.88,27062.32,472471.726,-0.006440787177649732,0.00040178494701237355,7,3,0,1,0
2013-07-23,600519.SH,175.93,180.29,174.98,179.59,28756.11,513622.532,0.0265764506024162,0.024036702196039705,7,3,1,0,0
2013-07-24,600519.SH,179.4,179.4,173.1,174.62,44067.23,772480.648,-0.028064290647983547,-0.018071345250465498,7,3,2,0,0
2013-07-25,600519.SH,175.4,179.8,174.3,178.74,39540.54,701690.246,0.023320051570584255,0.039384031726307,7,3,3,0,0
2013-07-26,600519.SH,177.0,177.8,174.9,174.97,19045.67,334279.508,-0.021317705296716838,-0.030595027013073484,7,3,4,0,0
2013-07-29,600519.SH,174.28,174.28,171.0,171.32,26883.31,462873.572,-0.0210813779093586,-0.03200988769205093,7,3,0,1,0
2013-07-30,600519.SH,170.3,171.28,165.59,168.43,42113.97,708812.312,-0.017012919536875337,0.02020744834364674,7,3,1,0,0
2013-07-31,600519.SH,169.68,171.2,167.7,168.5,14590.04,246901.546,0.0004155165821213558,0.0049807649823749855,7,3,2,0,0
2013-08-01,600519.SH,169.98,172.5,169.06,171.89,24852.59,426199.169,0.019918987547649536,0.004083343886311042,8,3,3,0,0
2013-08-02,600519.SH,172.79,178.16,172.69,176.03,29240.78,514840.309,0.023799697717815427,0.045130593557115795,8,3,4,0,0
2013-08-05,600519.SH,176.03,176.77,173.9,175.5,18065.07,316638.075,-0.003015392151960228,0.006931193790608248,8,3,0,1,0
2013-08-06,600519.SH,173.93,175.5,172.7,175.23,26562.26,462053.656,-0.001539646185593213,0.04865367409818511,8,3,1,0,0
2013-08-07,600519.SH,174.8,178.66,173.73,176.38,28377.75,501679.186,0.006541361739706986,0.012982148917356717,8,3,2,0,0
2013-08-08,600519.SH,176.42,177.36,174.4,175.16,16076.73,282184.726,-0.006940916526836816,-0.03351736712925302,8,3,3,0,0
2013-08-09,600519.SH,175.45,176.09,170.94,172.83,22889.24,396239.81,-0.013391389520796437,0.01467290112718711,8,3,4,0,0
2013-08-12,600519.SH,172.8,178.43,172.51,178.31,39390.34,692000.838,0.031215156133553634,0.00789510456296938,8,3,0,1,0
2013-08-13,600519.SH,178.01,180.5,176.5,179.95,25435.83,453549.742,0.009155425979084697,0.030473131275801535,8,3,1,0,0
2013-08-14,600519.SH,179.89,182.34,178.4,178.69,21721.9,392821.868,-0.007026573634469457,0.014054804274889143,8,3,2,0,0
2013-08-15,600519.SH,178.86,181.2,177.39,177.46,15365.66,274789.284,-0.006907229483378963,0.010105690053496375,8,3,3,0,0
2013-08-16,600519.SH,177.53,181.0,174.05,174.4,34973.93,617783.344,-0.0173937199323122,-0.017809236514433557,8,3,4,0,0
2013-08-19,600519.SH,175.4,175.91,173.0,175.17,19357.61,337652.097,0.004405419488676898,-0.015513568058972638,8,3,0,1,0
2013-08-20,600519.SH,174.15,175.0,172.7,173.61,31250.74,541646.639,-0.008945526709698726,-0.03274522442751415,8,3,1,0,0
2013-08-21,600519.SH,175.01,175.15,172.4,174.69,23103.2,401820.452,0.006201570263280942,0.00921696241524117,8,3,2,0,0
2013-08-22,600519.SH,174.6,176.68,174.02,175.08,15501.52,272139.857,0.0022300378055559733,0.0037696839911491864,8,3,3,0,0
2013-08-23,600519.SH,175.97,175.98,171.5,172.99,19529.64,338959.489,-0.012009222963808242,-0.018550584703515227,8,3,4,0,0
2013-08-26,600519.SH,173.11,175.0,172.0,173.94,16885.31,293255.612,0.005476622802732756,0.012417539329569571,8,3,0,1,0
2013-08-27,600519.SH,173.77,173.77,172.0,173.15,24436.55,422029.095,-0.004552141313188152,0.008839248207608286,8,3,1,0,0
2013-08-28,600519.SH,172.17,172.17,169.57,169.9,30603.04,521639.363,-0.018948242170544027,-0.05016339830409766,8,3,2,0,0
2013-08-29,600519.SH,170.0,170.34,168.11,168.48,21804.02,368545.672,-0.008392980292221353,-0.01754840627130605,8,3,3,0,0
2013-08-30,600519.SH,168.48,169.0,167.55,168.78,25861.42,435606.368,0.001779043344154907,0.008805616978624364,8,3,4,0,0
2013-09-02,600519.SH,160.8,160.8,151.9,151.92,224970.74,3438418.525,-0.10524202522578996,-0.098334795742411,9,3,0,1,0
2013-09-03,600519.SH,151.0,152.8,149.0,151.66,123211.05,1855978.596,-0.0017128932312404643,0.015680826701071737,9,3,1,0,0
