Model,RMSE,MAE,MAPE
Prophet,108.16432063653342,69.794802670504,0.07989729333527822
ARIMA,244.34912385486587,204.7494530350592,0.13768512596768787
Random Forest,242.9798865622087,199.87020249999992,0.134345934954941
